registro_sistema,titulo,autor,assunto_principal,tipo_material,biblioteca,exemplares,emp_2018,emp_2019,emp_2020,emp_2022,total_emprestimos,media_por_exemplar
135326,Uma proposição para o cálculo de mapas de disparidade de imagens estéreo usando um interpolador neural baseado em funções de base radial,"Araújo, Allan David Garcia de.",Redes neurais -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
135330,Controle preditivo neural aplicado à processos petroquímicos,"Popoff, Luiz Henrique Gomes.",Rede neural artificial -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
135386,Algoritmo evolucionário para a distribuição de produtos de petróleo por redes de polidutos,"Souza, Thatiana Cunha Navarro de.",Algoritmo -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
135395,MaRISA-AOCode :,"Guimarães, Everton Tavares.",Software -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
135482,Internet art,"Greene, Rachel.",Arte por computador,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
135495,Digital art,"Paul, Christiane,",Computação gráfica,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
135954,Handbook of research on artificial immune systems and natural computing :,,Processamento da linguagem natural (Computação) -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
136162,Wireless sensor networks :,"Sohraby, Kazem.",Redes locais de computação,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
136684,Categories for types,"Crole, Roy L.",Categorias -,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
136846,Mecanismos de segurança para um sistema cooperativo de armazenamento de arquivos baseado em P2P,"Lima Filho, Francisco Sales de.",Sistema de segurança -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
136857,Sistema inteligente para diagnóstico de patologias na laringe utilizando máquinas de vetor de suporte,"Almeida, Náthalee Cavalcanti de.",Sistemas especialistas(Computação) -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
136901,Web sites que funcionam,"Black, Roger,",Sites da Web,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
137030,Fatores críticos de sucesso como antecedentes da aceitação de um sistema de informação em uma universidade federal,"Yoshino, Cristina Kasumi Nakata.",Administração -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
137031,Uma implementação da análise de componentes independentes em plataforma de hardware reconfigurável,"Silva, Alan Paulo Oliveira da.",Algorítmos -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
137035,Mudança dos processos de negócios e adequação da Ti nas empresas em decorrência da implantação do sistema público de escrituração digital,"Alves Júnior, Eloi Prata.",Sistemas automatizados -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
137036,Uma abordagem dirigida por modelos para desenvolvimento de middlewares auto-adaptativos para transmissão de fluxo de dados baseado em restrições de QoS,"Silva, André Gustavo Pereira da.",Sistemas de processamento distribuído -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
137070,The art computer systems performance analysis :,"Jain, Raj.",Redes de computadores,Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
137192,Comunicação gráfica em interfaces de hipermídia de educação a distância via web,"Burgos, Taciana de Lima.",Comunicação visual -,Tese,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
137196,Adoção do e-learning :,"Silva, Jaqueline Emília.",Administração -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
152368,"Informática aplicada às áreas de contabilidade, administração e economia","Cornachione Junior, Edgard Bruno.",Informática,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
152489,Ciência da computação :,"Brookshear, J. Glenn.",Computação,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
153338,Self-organizing maps,"Kohonen, Teuvo,",Redes neurais (Computação),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
153422,Data mining :,"Witten, Ian H.",Mineração de dados (Computação),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
160526,Excel para profissionais de finanças :,"Correia Neto, Jocildo Figueiredo,",Excel (Programa de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
161696,Crenças normativas e comportamentais e suas influências na intenção de adoção de um sistema de informação :,"Souza, Daniela Vianna Cortez de.",Sistemas automatizados -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
161921,Term rewriting systems,,Sistema de reescrita (Ciência da computação),Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
162000,Fatores que influenciam a intenção de compra online:,"Fernandes, Luana de Oliveira.",Administração -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
162025,Theoretical computer science :,"Hromkoviéc, Juraj,",Computação,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
162101,Fatores inibidores à adoção de tecnologias de informação em micro e pequenas empresas fornecedoras do vale do Estado do Pará,"Aranha, Helder da Silva.",Administração -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
162109,Programming pearls,"Bentley, Jon Louis.",Programação (Computadores),Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
162150,Pratical industrial data networks:,,OSI(Padraõ de redes de computação),Livro,Biblioteca Central Zila Mamede,5,0,0,0,0,0,0.0
162161,Implantando a governança de TI :,"Fernandes, Aguinaldo Aragon.",Tecnologia da informação -,Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
162288,Designing successful e-learning :,"Allen, Michael W.,",Informática,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
162294,Demystifying embedded systems middleware,"Noergaard, Tammy.",Sistemas embutidos de computador,Livro,Biblioteca Central Zila Mamede,5,0,0,0,0,0,0.0
162297,Lining up data in ArcGIS :,"Maher, Margaret M.",Sistemas de Informação Geográfica,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
162316,MySQL 5.1 - Interativo:,"Manzano, Jose Augusto N. G.",SQL (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
162346,Web design :,,Desenho (Projetos),Livro,Biblioteca Central Zila Mamede,10,0,0,0,0,0,0.0
162383,"Logic for programming, artificial intelligence, and reasoning :","LPAR (Conference)  (11th : 2005 : Montevideo, Uruguay).",Programação lógica -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
162385,Relations and Kleene algebra in computer science :,,Lógica algébrica,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
162387,Handbook of practical logic and automated reasoning,"Harrison, J.",Raciocínio,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
162411,Relational and Kleene-algebraic methods in computer science :,,Lógica algébrica,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
162430,Business process execution language for web services :,"Juric, Matjaz B.",Comércio eletrônico -,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
162472,Logic for artificial intelligence and information technology,"Gabbay, Dov M.,",Inteligência artificial,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
162482,Introdução à ciência da computação,"Mokarzel, Fábio.",Processamento eletrônico de dados,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
162496,Computer type :,"Rogondino, Michael",Tipos para impressão (Computadores),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
162541,Routledge handbook of Internet politics,,Internet -,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
162545,Fundamentals of networking and data communications,"White, Curt M.",Redes de computação,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
162584,Multimídia nos PCs modernos,"Vasconcelos, Laércio.",Microcomputadores,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
162697,Interactive theorem proving and program development :,"Bertot, Yves.",Programação (Computadores),Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
162698,Programando aplicativos wap wireless application protocol,"Mann, Steve,",Internet (Redes de computação),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
163079,Um estudo comparativo de métodos não supervisionados de redução de dimensionalidade aplicados à visualização de dados,"Medeiros, Claudio José França de.",Bases de dados -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
163099,Programando com ferramentas GNU,"Loukides, Michael Kosta.",Unix(Sistema operacional de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
163110,Designing Cisco networks,,Redes de computadores,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
163188,Network-on-Chip architectures :,"Nicopoulos, Chrysostomos.",Arquitetura de rede de computador,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
163195,Customizable embedded processors :,,Sistemas embutidos de computador,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
163380,Sistema operacional e bibliotecas de funções para plataformas MPSoC :,"Oliveira, Tadeu Ferreira.",Sistema operacional -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
163516,Innovations and advances in computer sciences and engineering,"International Conference on Systems, Computing Sciences and Software Engineering  (2008).",Computação -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
163585,Introduction to MATLAB 7,"Etter, D. M.",MATLAB (Programa de computador),Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
163590,iPhone game development,"Zirkle, Paul.",Jogos para telefones celulares -,Livro,Biblioteca Central Zila Mamede,8,0,0,0,0,0,0.0
163810,Informatics in education,"ProTeM-CC Projects Evaluation Workshop  (2. : 2001 : Rio de Janeiro, RJ).",Informática -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
163966,Manual do administrador do sistema Unix,,Unix (Sistema operacional de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
164070,Um modelo conceitual baseado em MDD e padrões para evolução de sistemas AO,"Marinho, Éberton da Silva.",Programa de computador(Software) -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
165106,The H.264 advanced video compression standard,"Richardson, Iain E. G.",Sistemas digitais,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
165332,BMMobile - uma linha de produtos para dimensionamento de bombeio mecânico em dispositivos móveis,"Sousa, Matheus Alves de.",Linhas de produtos de software -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
165337,Um framework baseado em modelos para desenvolvimento de sistemas multmídia distribuídos autoadaptativos,"Pinto, Felipe Alves Pereira.",Sistemas de processamento distribuído -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
165464,Ciência da computação :,"Brookshear, J. Glenn.",Computação,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
165544,Qualidade de software:,,Software -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
165801,Sistema não-intrusivo para estimação da direção do olhar utilizando redes neurais artificiais,"Peixoto, Helton Maia.",Processamento digital de imagens -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
165817,Programação Java com ênfase em orientação a objetos,"Mendes, Douglas Rocha,",Java (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,5,0,0,0,0,0,0.0
165840,Compreendendo SOA corporativa,"Pulier, Eric.",Informática,Livro,Biblioteca Central Zila Mamede,12,0,0,0,0,0,0.0
166354,Oracle Database 10 g :,"Freeman, Robert G.",Oracle (Sistema de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
166432,C# para programadores Java,"Bagnall, Brian,",C# (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
166435,Java 2 & banco de dados :,"Thompson, Marco Aurélio.",Java (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
166485,Handbook of floating-point arithmetic,,Representação de número em ponto flutuante,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
166501,Localização de robôs móveis autônomos utilizando fusão sensorial de odometria e visão monocular,"Santos, Guilherme Leal.",Robótica -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
166525,Tabelas :,"Santos, Clesio Saraiva dos,",Organização de arquivos (Computação),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
166546,Languages and machines :,"Sudkamp, Thomas A.",Linguagens formais,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
166653,Desenvolvimento de uma arquitetura em hardware prototipada em FPGA para aplicações genéricas utilizando redes neurais artificiais embarcadas,"Prado, Rafael Nunes de Almeida.",Sistemas embarcados -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
166661,Análise de estabilidade e generalização do controlador adaptativo backstepping a estrutura variável,"Queiroz, Kurios Iuri Pinheiro de Melo.",Robustez -,Tese,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
166670,MoSAC :,"Silva, Daniel Cunha da.",Sistemas de processamento distribuído -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
166671,Seleção de atributos em comitês de classificadores utilizando algoritmos genéticos,"Silva, Lígia Maria Moura e.",Algoritmo genético -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
166692,Lectures on soft computing and fuzzy logic,,Inteligência artificial,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
166695,Clausal form logic :,"Richards, Tom.",Sistemas especialistas (Computação),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
166696,Computational complexity,"Papadimitriou, Christos H.",Complexidade computacional,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
166926,UML :,"Matos, Alexandre Veloso de.",UML (Linguagem de modelagem padrão),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167099,Contribuição para o estudo do embarque de uma rede neural artificial em Field Programmable Gate Array(FPGA),"Silva, Carlos Alberto de Albuquerque.",Redes neurais artificiais -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167105,Reconhecimento de padrões de falhas em motores trifásicos utilizando redes neurais,"Reis, Aderson Jamier Santos.",Redes neurais (Computação) -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167264,Data mining with neural networks :,"Bigus, Joseph P.",Rede de computadores,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167265,Neural networks in the capital markets,,Rede de computadores,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167268,Trusted information :,,Segurança de computador,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167275,Practical data communications,"Freeman, Roger L.,",Banco de dados,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167288,Transaction-level modeling with SystemC :,,Sistemas embutidos de computador,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167292,Características e potencialidades das aglomerações de software no Paraná,,Software -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167295,Dominando Enterprise JavaBeans,"Roman, Ed,",Java (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167317,Cérebros e computadores :,"Tenório, Robinson Moreira,",Ensino auxiliado por computador,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167320,Computação e simulação analogica e hibrida,"Dianese, Antonio,",Computadores analogicos,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167408,Arquitetura hardware/software de um núcleo NCAP segundo o padrão IEEE 1451.1 :,"Santos, José de Anchieta Gomes dos.",Arquitetura de computador -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167431,Sistema web didático para supervisão de redes fieldbus,"Cavalcanti, Bruno Jácome.",Controladores lógicos programáveis -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167533,"Integrating advanced computer-aided design, manufacturing, and numerical control :","Xu, Xun,",Computação gráfica,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
167553,Information flow :,"Barwise, Jon.",Processamento eletrônico de dados -,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
167603,Localização e mapeamento simultâneo de ambientes planos usando visão monocular e representação híbrida do ambiente,"Santana, André Macêdo.",SLAM -,Tese,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167683,Silicon literacies :,,Educação -,Livro,Biblioteca Central Zila Mamede,8,0,0,0,0,0,0.0
167728,A first course in computational physics and object-oriented programming with C++,"Yevick, David",C++ (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167846,Software testing :,"Jorgensen, Paul.",Software -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167937,Simulation modeling and analysis,"Law, Averill M.",Simulação (Computadores digitais),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167938,Advanced GNVQ information technology,"Harper, Harriet.",Tecnologia da Informação,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167958,Finding it on the Internet :,"Gilster, Paul,",Internet -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167959,Programação em BASIC,"Natale, Ferdinando,",Linguagem de programação (Computadores),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167961,Performance analysis of local computer networks,"Hammond, Joseph L.",Redes locais de computação,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167962,Computer and digital system architecture,"Murray, William D.",Arquitetura de computador,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167963,Highly parallel computing,"Almasi, George S.",Processamento paralelo (Computadores),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167974,Network security :,"Kaufman, Charlie.",Computadores -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167984,Computação gráfica :,"Gomes, Jonas de Miranda.",Computação gráfica,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167991,Firewalls and internet security :,"Cheswich, William R.",Firewall,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
167995,ATM :,,Interfaces de usuário (Sistema de computador),Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
167996,Building Internet firewalls,"Chapman, D. Brent.",Computadores,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
168003,Reinforcement learning :,"Sutton, Richard S.",Aprendizado do computador,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
168004,Anatomia de sistemas de informação geográfica,,Sistemas de informação geográfica,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
168010,Metropolitan area networks,"Sadiku, Matthew N. O.",Redes metropolitanas de computação,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
168102,Local and metropolitan area networks,"Stallings, William.",Redes locais de computação,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
168111,Distributed computing and client-server systems,"Umar, Amjad.",Programas cliente-servidor,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
168113,Device driver programming :,,Unix (Sistema operacional),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
168114,Broadband LAN technology,"Kim, Gary Y.",Redes de acesso local,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
168386,MAP and TOP communications :,"Valenzano, Adriano.",Redes de computação -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
168458,Estudo dirigido Delphi 7,"Manzano, Jose Augusto N. G.",Delphi (Programa de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
168717,Core JavaServer Faces,"Geary, David M.",Java (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
168745,Delphi 7 :,"Oliveira, Adelize Generini de.",Ferramentas para desenvolvimento de programas,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
168876,Acessando bancos de dados com Delphi 7,"Oliveira, Adelize Generini de.",Ferramentas para desenvolvimento de programas,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
168940,Lei de informática e automação e normas correlatas :,Brasil.,Informática -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
169011,Fundamentals of artificial neural networks,"Hassoun, Mohamad H.",Redes neurais (Computação),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
169013,Using formal description techniques :,,Programação (Computadores),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
169014,Windows programming with Borland C++ :,"Oualline, Steve.",Borland C++,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
169069,Seleção sequencial de descritos por análise da semântica para recuperação de imagens baseada no conteúdo,"Escarcina, Raquel Esperanza Patiño.",Recuperação de imagens -,Tese,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
169286,Data structures and algorithm analysis in C,"Weiss, Mark Allen.",C (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
169293,Proteção jurídica de software :,"Ferrari, Alexandre Coutinho,",Direitos autorais -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
169505,Abordagem dirigida a modelos para redes de sensores sem fio,"Rodrigues, Taniro Chacon.",Wireless sensor network -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
169607,Multiple access protocols :,"Rom, Raphael.",Protocolos de acesso múltiplo (Redes de computadores),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
169698,Arquitetura com elevada taxa de processamento e reduzida largura de banda de memória para a estimação de movimento em vídeos digitais,"Lopes, Alba Sandyra Bezerra.",Arquitetura de computador -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
169701,CrossMAD2 :,"Fernandes, Victor Hugo de Carvalho.",Desenvolvimento de software baseado em modelos -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
169702,Utilização de redes neurais artificiais para detecção e diagnóstico de falhas,"Rebouças, Diogo Leite.",Sistemas críticos -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
169706,SOA-DB :,"Lacerda, João Marcos Teixeira.",Arquitetura de software -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
169771,Data communications and computer networks :,"White, Curt M.",Redes de computadores,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
169802,Computational complexity :,"Arora, Sanjeev.",Complexidade computacional,Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
169852,Análise de impacto baseada em rastreabilidade de artefatos para linhas de produto de software,"Oliveira, Ana Liz Souto.",Desenvolvimento de software -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
169854,Avaliação sistemática de abordagens de derivação de produto,"Torres, Mário Sérgio Scaramuzzini.",Engenharia de software -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
169859,GingaForAll :,"Pereira, Lucas Silva.",Sistemas de processamento distribuído -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
169864,Algoritmos transgenéticos aplicados ao problema da árvore geradora biobjetivo,"Monteiro, Sílvia Maria Diniz.",Algoritmos experimentais -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
169865,Midgard :,"Araújo, Rodrigo Pinheiro Marques de.",Redes de sensores sem fio -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
170016,Especificação do micronúcleo FreeRTOS utilizando o método B,"Galvão, Stephenson de Sousa Lima.",Sistemas de computação -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
170124,Symbolic and quantitative approaches to reasoning with uncertainty :,,Inteligência artificial,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
170631,Arquitetura de informação e governo eletrônico :,"Caldas, Luiz Carlos Agner.",Interfaces de usuários (Sistema de computadores),Tese,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
170797,Aplicação do método de análise hierárquica na tomada de decisão para adoção de computação em nuvem :,"Oliveira, Adriane Araújo de.",Arquitetura de computador -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
170803,Uma colônia de formigas para o caminho mais curto multiobjetivo,"Bezerra, Leonardo César Teonácio.",Metaheurística -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
171077,Boleto bancário em Delphi,"Barbosa, Genilton.","Delphi, Metódo",Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
171277,Análise de desempenho de um fogão solar com parábola fabricada em material compósito,"Macedo Neto, Miguel Cabral de.",Energia solar -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
171280,Uma abordagem dirigida por modelos para gerência de variabilidade e execução de processos de software,"Santos, Wanderson Câmara dos.",Engenharia de software -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
171443,Feature extraction and image processing,"Nixon, Mark S.",Computação gráfica,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
171648,Uma abordagem sistemática para o teste de linhas de produto de software,"Câmara, Heitor Mariano de Aquino.",Testes de software -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
171654,Um framework de agentes de recomendação para sistemas Web,"Medeiros, Danielle Gomes de Freitas.",Engenharia de software -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
171658,Paralelização em GPU da segmentação vascular com extração de Centerlines por Height Ridges,"Ribeiro, Ítalo Mendes da Silva.",Computação gráfica -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
172027,"Hipertexto, hipermídia :",,Multimídia interativa,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
172028,Informática em psicopedagogia,,Psicologia da aprendizagem -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
172101,MultiCluster :,"Barreto, Marcos Ennes.",Sistemas distribuídos -,Tese,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
172102,Modelagem e simulação da articulação temporomandibular,"Villamil, Marta Becker.",Computação gráfica -,Tese,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
172426,Ambiente de simulação híbrido integrado Hysys e rede industrial foundation fieldbus aplicado ao controle de uma coluna de destilação,"Costa, Bruno Xavier da.",Redes industrais -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
172429,Aplicação de indicadores webométricos nos programas de pós-graduação das engenharias recomendados pela Capes,"Silva, Ilaydiany Cristina Oliveira da.",World Wide Web -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
172431,Análise de desempenho baseada em simulação de redes wirelessHART,"Nobre, Marcelo Henrique Ramalho.",Redes sem fio -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
172473,Programming :,"Stroustrup, Bjarne.",C (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
172824,Avaliação da informação de websites turísticos das cidades-sede da copa 2014,"Cacho, Andréa do Nascimento Barbosa.",Turismo -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
172958,Atualizações em informática 2011,,Informática,Livro,Biblioteca Central Zila Mamede,4,0,0,0,0,0,0.0
