registro_sistema,titulo,autor,assunto_principal,tipo_material,biblioteca,exemplares,emp_2018,emp_2019,emp_2020,emp_2022,total_emprestimos,media_por_exemplar
18896,Borland C++ :,"Holzner, Steven.",Borland C++ (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
20969,Computational theories of interaction and agency,,Inteligência artificial,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
21064,TCP/IP illustrated,"Stevens, W. Richard.",TCP/IP (Protocolo de rede de computador),Livro,Biblioteca Central Zila Mamede,5,0,0,0,0,0,0.0
22006,Selected papers :,"International Symposium on Computer Architecture.  (25. : 1998 : New York, N.Y.)",Arquitetura de computador,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
22389,Programando para Linux,"Volkerding, Patrick.",Linux (Sistema operacional de computador),Livro,Biblioteca Central Zila Mamede,6,0,0,0,0,0,0.0
23451,An introduction to S and S-PLUS,"Spector, Phil,",S (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
23646,Introduction to parallel algorithms and architectures :,"Leighton, Frank Thomson",Algoritmos de computador,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
23936,Algoritmos e estruturas de dados,"Wirth, Niklaus",Estruturas de dados (Computação),Livro,Biblioteca Central Zila Mamede,5,0,0,0,0,0,0.0
24286,Dominando o photoshop 5 para a web :,"Straznitskas, Matt",Adobe Photoshop (Programa de computador),Livro,Biblioteca Central Zila Mamede,6,0,0,0,0,0,0.0
24374,Principles of data mining and knowledge discovery :,,Banco de dados,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
24405,Fundamentals of algebraic specification,"Ehrig, Hartmut",Estruturas de dados (Computação),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
24503,Notas para exame :,"Strebe, Matthew.",Internet (Redes de computação),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
24504,Notas para exame :,"Govanus, Gary.",Windows Server (Sistema operacional de computador),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
24531,Gerenciando data warehouse :,"Inmon, William H.,",Banco de dados -,Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
24700,TCP/IP :,"Feit, Sidnie.",TCP/IP (Protocolo de rede de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
24883,Java :,"Schildt, Herbert,",Java (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
24919,Redes de computadores,"Tanenbaum, Andrew S.,",Redes de computação,Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
25048,Turbo Pascal 7.0 :,"Rinaldi, Roberto,",Turbo Pascal (Linguagem de programação de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
25191,Uncertainty in knowledge bases :,,Incerteza (Teoria da informação),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
25424,Sistemas operacionais :,"Tanenbaum, Andrew S.",Sistemas operacionais (Computadores),Livro,Biblioteca Central Zila Mamede,3,0,0,0,0,0,0.0
25530,Computer aided verification,,Programas de computador -,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
25801,Uma ferramenta para monitorização da rede ATM da UFRN através da Web,"Silva, Helcio Wagner da.",Rede de computador - Dissertação,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
26070,Hyperproof,"Barwise, Jon.",Lógica simbólica e matemática,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
26379,Realidade virtual e a exploração do espaço cibernético,"Hamit, Francis",Cibernética,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
26382,A educação na Era da Internet :,"Lucena, Carlos,",Ensino auxiliado por computador,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
27029,Kit de construção de sites Web para Windows 95,"Zimmerman, Scott.",Internet (Rede de computadores),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
27034,Introdução a ciência da computação,"Guimarães, Angelo de Moura.",Processamento eletrônico de dados,Livro,Biblioteca Central Zila Mamede,7,0,0,0,0,0,0.0
27378,Programação estruturada de computadores :,,Pascal (Linguagem de programação),Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
28822,Harvard graphics,"Cavanha Filho, Armando Oscar.",Harvard Graphics (Programa de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
29061,Análise estruturada de sistemas,"Gane, Chris,",Análise de sistemas,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
29565,Uma estratégia metaheurística híbrida genética de grupamento para o problema bin packing 1-dimensional,"Silva, Marcelo Mariano da.",Algorítmo(Informática) -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
30172,Projeto e implementação do Microsoft Internet :,"Knowles, Arthur.",Internet (Redes de computação),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
30582,Modelos para qualidade de software :,"Amaral, Ytalo Rosendo do.",Software,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
30710,Guia Internet de conectividade,,Internet (Redes de computação),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
30741,E-commerce na corda bamba :,"Venetianer, T.",Comércio eletrônico,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
31448,ALS/AS logic databook,,Circuitos lógicos,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
31472,LOTUS 1-2-3 :,"Celentano, Celeida Maria.",Lotus 1-2-3 (Programa de computador),Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
32182,Lotus 1-2-3 :,"Baras, Edward M.",Lotus 1-2-3 (Programa de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
33129,A informática e os direitos intelectuais,"Manso, Eduardo Vieira,",Direitos autorais -,Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
33421,Operating system concepts,"Silberschatz, Abraham.",Sistemas operacionais (Computadores),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
34398,UML :,"Booch, Grady.",UML (Linguagem de modelagem padrão),Livro,Biblioteca Central Zila Mamede,4,0,0,0,0,0,0.0
34910,Practical UNIX and Internet security,"Garfinkel, Simson.",Sistemas operacionais (Computadores),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
36606,An introduction to database systems,"Date, C. J.",Banco de dados -,Livro,Biblioteca Central Zila Mamede,2,0,0,0,0,0,0.0
36990,Design e avaliação de sistemas multimídia para a web :,"Almeida, Antônio José Portella.",World Wide Web (Sistemas de recuperação da informação) -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
37097,Arquitetura e bibliotecas para FERUS :,"Peraça, Samantha Escobar",Arquitetura de software -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
37142,Integrando padrões através de meta-modelos,"Silva, Lyrene Fernandes da",Engenharia de software -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
37166,Modelando uma arquitetura PRAM-CRCW com espaços em chu,"Santos, Maria José Lima dos.",Arquitetura de computadores,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
37509,Vantagens competitivas pela utilização da Internet nos negócios :,"Martins, Filipe Bruno de Araújo Ramos",Internet -,Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
37614,SGUMP :,"Santos, Andréa Cynthia dos.",SGUMP (Sistema de computador),Dissertação,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
38108,PC e periféricos :,"Mendonça, Alexandre.",Microcomputadores -,Livro,Biblioteca Central Zila Mamede,4,0,0,0,0,0,0.0
38126,Beginning linux programming,"Matthew, Neil.",Linux (Sistema operacional de computador),Livro,Biblioteca Central Zila Mamede,1,0,0,0,0,0,0.0
