registro_sistema,titulo,sub_titulo,assunto,autor,tipo_material,quantidade,ano,edicao,editora,isbn,assunto_lista,assunto_principal
122492,Firewall de aplicação para redes industriais,,Proteção de infra-estrutura crítica -#$&Dissertação.#$&Firewall de aplicação -#$&Dissertação.#$&Segurança em redes industriais -#$&Dissertação.#$&Firewall industrial -#$&Dissertação.#$&Modbus/TCP -#$&Dissertação.#$&Critical infra-structure protection.#$&Application firewall.#$&Security of industrial networks.#$&Industrial firewall#$&Modbus/TCP.,"Batista Júnior, Aguinaldo Bezerra.",Dissertação,1,2009.0,,,,"['Proteção de infra-estrutura crítica -', 'Dissertação', 'Firewall de aplicação -', 'Dissertação', 'Segurança em redes industriais -', 'Dissertação', 'Firewall industrial -', 'Dissertação', 'Modbus/TCP -', 'Dissertação', 'Critical infra-structure protection', 'Application firewall', 'Security of industrial networks', 'Industrial firewall', 'Modbus/TCP']",Proteção de infra-estrutura crítica -
122494,Uma ferramenta de manipulação de pacotes para análise de protocolos de redes industriais baseados em TCP/IP,,Protocolos industriais -#$&Dissertação.#$&Redes industriais -#$&Segurança -#$&Dissertação.#$&Modbus/TCP (Protocolo) -#$&Dissertação.#$&Industrial protocols.#$&Industrial network security.#$&Modbus/TCP.,"Kobayashi, Tiago Hiroshi.",Dissertação,1,2009.0,,,,"['Protocolos industriais -', 'Dissertação', 'Redes industriais -', 'Segurança -', 'Dissertação', 'Modbus/TCP (Protocolo) -', 'Dissertação', 'Industrial protocols', 'Industrial network security', 'Modbus/TCP']",Protocolos industriais -
122668,Handbook of temporal reasoning in artificial intelligence,,Banco de dados temporais.#$&Inteligência artificial.#$&Raciocínio.,,Livro,2,2005.0,1st ed. -,"Elsevier,",,"['Banco de dados temporais', 'Inteligência artificial', 'Raciocínio']",Banco de dados temporais
122927,Microsoft Internet Explorer 5 :,passo a passo /,World Wide Web (Sistema de recuperação da informação)#$&Internet explorer (Programa de computador).,"Moraz, Eduardo.",Livro,1,2000.0,,"Terra,",,"['World Wide Web (Sistema de recuperação da informação)', 'Internet explorer (Programa de computador)']",World Wide Web (Sistema de recuperação da informação)
123243,Organização e projeto de computadores :,a interface hardware-software /,Arquitetura de computador.#$&Organização de computador.#$&Engenharia de computador.#$&Interfaces (Computador).,"Patterson, David A.",Livro,50,2005.0,3. ed. -,"Elsevier :#$&Campus,",,"['Arquitetura de computador', 'Organização de computador', 'Engenharia de computador', 'Interfaces (Computador)']",Arquitetura de computador
123283,SPSS básico para análise de dados,,SPSS (Programa de computador).#$&Ciências sociais -#$&Métodos estatísticos -#$&Programas de computador.,"Oliveira, Francisco Estevam Martins de.",Livro,19,2007.0,,"Ciência Moderna,",,"['SPSS (Programa de computador)', 'Ciências sociais -', 'Métodos estatísticos -', 'Programas de computador']",SPSS (Programa de computador)
123395,UML :,guia do usuário/,UML (Linguagem de modelagem padrão)#$&Informática.,"Booch, Grady.",Livro,14,2005.0,2. ed. -,"Campus,",,"['UML (Linguagem de modelagem padrão)', 'Informática']",UML (Linguagem de modelagem padrão)
123458,Pump it up :,uma ferramenta lúdica de vivência musical /,Jogos eletrônicos -#$&Monografias.#$&Pump it up -#$&Monografias.#$&Percepção musical -#$&Monografias.,"Oliveira, Helder Alves de.",Monografia,1,2009.0,,,,"['Jogos eletrônicos -', 'Monografias', 'Pump it up -', 'Monografias', 'Percepção musical -', 'Monografias']",Jogos eletrônicos -
123657,Aprendendo a navegar na web,navegando com leitor de telas /,Internet.#$&Inclusão digital.,"Nicácio, Jalves Mendonça.",Livro,1,2009.0,,"Fundação Dorina Nowill para Cegos,",,"['Internet', 'Inclusão digital']",Internet
123813,Busca heurística através de algoritmo genético e memético com construção de vocábulos para o problema de atribuição de localidades a anéis Sonet,,Problema de atribuição de localidade a Anéis SONET -#$&Dissertação.#$&Algoritmo genético -#$&Dissertação.#$&Algoritmo memético -#$&Dissertação.#$&Vocabulary building -#$&Dissertação.#$&Sonet ring assignment problem.#$&Genetic algorithm.#$&Memetic algorithm.#$&Vocabulary building.,"Silva, Ana Cristina Girão e.",Dissertação,1,2008.0,,,,"['Problema de atribuição de localidade a Anéis SONET -', 'Dissertação', 'Algoritmo genético -', 'Dissertação', 'Algoritmo memético -', 'Dissertação', 'Vocabulary building -', 'Dissertação', 'Sonet ring assignment problem', 'Genetic algorithm', 'Memetic algorithm', 'Vocabulary building']",Problema de atribuição de localidade a Anéis SONET -
123817,Heurísticas usando construção de vocabuilário aplicadas ao problema da atribuição de localidades a anéis em redes SONET/SDH,,Anéis em redes Sonet -#$&Otimização combinatória -#$&Busca tabu -#$&Construção de vocabulário -#$&Metaheurística -#$&Pesquisa operacional -#$&SONET/SDH ring assignment problem.#$&Combinatorial optimization.#$&Taboo search.#$&Vocabulary building.,"Soares, Werner Kleyson da Silva.",Dissertação,1,2009.0,,,,"['Anéis em redes Sonet -', 'Otimização combinatória -', 'Busca tabu -', 'Construção de vocabulário -', 'Metaheurística -', 'Pesquisa operacional -', 'SONET/SDH ring assignment problem', 'Combinatorial optimization', 'Taboo search', 'Vocabulary building']",Anéis em redes Sonet -
123823,Introdução à programação orientada a objetos usando JAVA,,Java (Linguagem de programação de computador).#$&Programação orientada a objetos (Computação).,"Santos, Rafael.",Livro,5,2003.0,,"Campus,",,"['Java (Linguagem de programação de computador)', 'Programação orientada a objetos (Computação)']",Java (Linguagem de programação de computador)
123981,Introdução a sistemas de bancos de dados,,Banco de dados.,"Date, C. J.,",Livro,31,2004.0,,"Elsevier,",,['Banco de dados'],Banco de dados
123994,Estudo e implementação de algoritmos inteligentes para detecção e classificação de falhas na medição de gás natural,,Redes neurais -#$&Dissertação.#$&Sensores -#$&Dissertação.#$&Detecção e classificação de falhas -#$&Dissertação.#$&Predição de séries temporais -#$&Dissertação.#$&Neural networks.#$&Sensor.#$&Fault detection and classification.#$&Prediction.,"Medeiros, Juliana Pegado de.",Dissertação,1,2009.0,,,,"['Redes neurais -', 'Dissertação', 'Sensores -', 'Dissertação', 'Detecção e classificação de falhas -', 'Dissertação', 'Predição de séries temporais -', 'Dissertação', 'Neural networks', 'Sensor', 'Fault detection and classification', 'Prediction']",Redes neurais -
124075,Projeto de banco de dados :,uma visão prática /,Banco de dados.,"Machado, Felipe Nery Rodrigues.",Livro,10,2009.0,16. ed. rev. e atual. -,"Érica,",,['Banco de dados'],Banco de dados
124110,Projeto de banco de dados :,uma visão prática /,Banco de dados.#$&SQL (Linguagem de programação de computador).#$&Linguagem de programação (Computadores).,"Machado, Felipe Nery Rodrigues.",Livro,1,2002.0,9.ed.,"Érica,",,"['Banco de dados', 'SQL (Linguagem de programação de computador)', 'Linguagem de programação (Computadores)']",Banco de dados
124151,MySQL 5.1 - Interativo :,guia básico de orientação e desenvolvimento/,SQL (Linguagem de programação de computador)#$&Banco de dados -#$&Gerencia.#$&Banco de dados relacionais.,"Manzano, Jose Augusto N. G.",Livro,8,2009.0,2. ed. rev. e atual. -,"Érica,",,"['SQL (Linguagem de programação de computador)', 'Banco de dados -', 'Gerencia', 'Banco de dados relacionais']",SQL (Linguagem de programação de computador)
124184,Reconfiguração dinâmica de estratégias distribuídas em dispositivos (Foundations Fieldbus) para a otimização de processos na indústria do petróleo,,Redes neurais -#$&Dissertação.#$&Petróleo -#$&Indústria -#$&Dissertação.#$&Sistemas inteligentes -#$&Dissertação.#$&Foundation fieldbus -#$&Dissertação.#$&Neural networks.#$&Petrochemical industry.#$&Intelligent systems.#$&Foundation fieldbus.,"Ramalho, Leonardo Sávio Guanabara.",Dissertação,1,2009.0,,,,"['Redes neurais -', 'Dissertação', 'Petróleo -', 'Indústria -', 'Dissertação', 'Sistemas inteligentes -', 'Dissertação', 'Foundation fieldbus -', 'Dissertação', 'Neural networks', 'Petrochemical industry', 'Intelligent systems', 'Foundation fieldbus']",Redes neurais -
124186,Core Java 2,,Java (Linguagem de programação de computador).#$&Linguagem de programação (Computadores).,"Horstmann, Cay S.,",Livro,26,2005.0,,"Alta Books,",8576080621,"['Java (Linguagem de programação de computador)', 'Linguagem de programação (Computadores)']",Java (Linguagem de programação de computador)
124193,Uma análise de métodos de distribuição de atributos em comitês de classificadores,,Inteligência artificial -#$&Dissertação.#$&Seleção de atributos -#$&Dissertação.#$&Aprendizado de máquina -#$&Dissertação.#$&Comitês classificadores -#$&Dissertação.#$&Artificial intelligence.#$&Feature selection.#$&Machine learning.#$&Ensembles.,"Vale, Karliane Medeiros Ovídio.",Dissertação,1,2009.0,,,,"['Inteligência artificial -', 'Dissertação', 'Seleção de atributos -', 'Dissertação', 'Aprendizado de máquina -', 'Dissertação', 'Comitês classificadores -', 'Dissertação', 'Artificial intelligence', 'Feature selection', 'Machine learning', 'Ensembles']",Inteligência artificial -
124277,Como fazer quase tudo com o seu computador,,Computadores.#$&Software.,,Livro,1,2001.0,1.ed.,"Reader's Digest Brasil,",8586116378,"['Computadores', 'Software']",Computadores
124336,Uma abordagem na camada de middleware para troca dinâmica de componentes em sistemas multímidia distribuídos baseados no framework Cosmos,,Multimídia -#$&Middleware -#$&Dissertação.#$&Engenharia de software -#$&Dissertação.#$&Multimidia.#$&Middleware.#$&Soft enginner.,"Vieira Júnior, Ivanilson França.",Dissertação,1,2009.0,,,,"['Multimídia -', 'Middleware -', 'Dissertação', 'Engenharia de software -', 'Dissertação', 'Multimidia', 'Middleware', 'Soft enginner']",Multimídia -
124358,Implementação e avaliação de máquinas de comitê em um ambiente com múltiplos processadores embarcadosem um único chip,,Processamento paralelo -#$&Tese.#$&Sistemas embarcados -#$&Tese.#$&Redes neurais artificiais -#$&Tese.#$&Parallel processing.#$&Embeddeb systems.#$&Artificial neural networks.,"Lopes, Danniel Cavalcanti.",Tese,2,2009.0,,,,"['Processamento paralelo -', 'Tese', 'Sistemas embarcados -', 'Tese', 'Redes neurais artificiais -', 'Tese', 'Parallel processing', 'Embeddeb systems', 'Artificial neural networks']",Processamento paralelo -
124369,"Segmentação de planos baseada em homografia afim, fluxo óptico e reconstrução métrica",,Visão computacional -#$&Tese.#$&Fluxo óptico -#$&Tese.#$&Homografia afim -#$&Tese.#$&Reconstrução 3D -#$&Tese.#$&Robótica -#$&Tese.#$&Segmentação de planos -#$&Tese.#$&Computer vision.#$&Optical flow.#$&Affine homography.#$&3D reconstruction.#$&Robotic.#$&Plane segmentation.,"Aires, Kelson Rômulo Teixeira.",Tese,1,2009.0,,,,"['Visão computacional -', 'Tese', 'Fluxo óptico -', 'Tese', 'Homografia afim -', 'Tese', 'Reconstrução 3D -', 'Tese', 'Robótica -', 'Tese', 'Segmentação de planos -', 'Tese', 'Computer vision', 'Optical flow', 'Affine homography', '3D reconstruction', 'Robotic', 'Plane segmentation']",Visão computacional -
124804,Data structures and algorithm analysis in Java,,Java (Linguagem de programação de computador).#$&Algoritmos.#$&Estruturas de dados (Computação).,"Weiss, Mark Allen.",Livro,10,2007.0,2nd ed. -,"Pearson Addison-Wesley,",,"['Java (Linguagem de programação de computador)', 'Algoritmos', 'Estruturas de dados (Computação)']",Java (Linguagem de programação de computador)
124811,Real-time systems,,Processamento eletrônico de dados em tempo real.#$&Programação em tempo real.,"Liu, Jane W. S.,",Livro,4,2000.0,,"Prentice Hall,",,"['Processamento eletrônico de dados em tempo real', 'Programação em tempo real']",Processamento eletrônico de dados em tempo real
124817,Logic and computer design fundamentals,,Circuítos lógicos.#$&Computadores digitais.#$&Projeto lógico.#$&Computação gráfica.,"Mano, M. Morris,",Livro,2,2008.0,4rd ed. -,"Pearson/Prentice Hall,",9780131989269,"['Circuítos lógicos', 'Computadores digitais', 'Projeto lógico', 'Computação gráfica']",Circuítos lógicos
124837,Neural logic networks :,a new class of neural networks /,Redes neurais (Computação).,"Teh, H. H.",Livro,1,1995.0,,"World Sci.,",,['Redes neurais (Computação)'],Redes neurais (Computação)
124855,Tango:,uma ferramenta poderosa para projetos eletrônicos /,Programa (Informática).#$&Tango (Programa de computador)#$&Sistema CAD/CAM.,"Ribeiro, Marcos Wesley de Amorim.",Livro,1,1993.0,21. ed. -,"Erica,",,"['Programa (Informática)', 'Tango (Programa de computador)', 'Sistema CAD/CAM']",Programa (Informática)
124895,Documenting software architectures :,views and beyond /,Arquitetura dos computadores.#$&Arquitetura de software.,,Livro,4,2003.0,,"Addison-Wesley,",,"['Arquitetura dos computadores', 'Arquitetura de software']",Arquitetura dos computadores
124917,Elements of argumentation,,Inteligência artificial.#$&Raciocínio.#$&Lógica.#$&Tecnologia da informação.,"Besnard, Philippe,",Livro,2,2008.0,,"MIT Press,",,"['Inteligência artificial', 'Raciocínio', 'Lógica', 'Tecnologia da informação']",Inteligência artificial
124940,Basic simple type theory,,Linguagem de programação (Computadores).,"Hindley, J. Roger.",Livro,2,1997.0,,"Cambridge University Press,",0521465184,['Linguagem de programação (Computadores)'],Linguagem de programação (Computadores)
124959,Programming in Haskell,,Linguagem de programação (Computadores).#$&Haskell (Linguagem de programação).#$&Programação funcional(Computação).,"Hutton, Graham,",Livro,2,2007.0,1. ed. -,"Cambridge University Press,",,"['Linguagem de programação (Computadores)', 'Haskell (Linguagem de programação)', 'Programação funcional(Computação)']",Linguagem de programação (Computadores)
124965,Concepts of programming languages,,Linguagem de programação (Computadores).,"Sebesta, Robert W.",Livro,18,2010.0,9th ed. -,"Addison Wesley,",,['Linguagem de programação (Computadores)'],Linguagem de programação (Computadores)
124986,Metrics and models in software quality engineering,,Software.#$&Controle de qualidade.#$&Controle de qualidade.,"Kan, Stephen H.",Livro,5,2003.0,2nd ed. -,"Addison-Wesley,",,"['Software', 'Controle de qualidade', 'Controle de qualidade']",Software
125188,"Automata, computability and complexity :",theory and applications /,Ciência da computação.#$&Informática.#$&Linguagem computacional.,"Rich, Elaine.",Livro,4,2008.0,,"Pearson,",,"['Ciência da computação', 'Informática', 'Linguagem computacional']",Ciência da computação
125250,Mathematical foundations of information theory,,Informática.#$&Teoria da informação.#$&Matemática.,"Khinchin, Aleksandr Iakovievich,",Livro,7,1957.0,,"Dover,",,"['Informática', 'Teoria da informação', 'Matemática']",Informática
125345,AI game engine programming,,Jogos de computador -#$&Programação.#$&Inteligência artificial.,"Schwab, Brian.",Livro,2,2004.0,,"Charles River Media,",,"['Jogos de computador -', 'Programação', 'Inteligência artificial']",Jogos de computador -
125357,A new kind of science,,Ciência da computação.#$&Autômatos celulares.#$&Complexidade computacional.,"Wolfram, Stephen.",Livro,1,2002.0,,"Wolfram Media,",,"['Ciência da computação', 'Autômatos celulares', 'Complexidade computacional']",Ciência da computação
125377,Image processing and analysis :,"variational, PDE, wavelet, and stochastic methods /",Processamento de imagem -#$&Modelos matemáticos.,"Chan, Tony F.",Livro,2,2005.0,,"Society for Industrial and Applied Mathematics,",,"['Processamento de imagem -', 'Modelos matemáticos']",Processamento de imagem -
125544,Representation and inference for natural language :,a first course in computational semantics /,Semântica -#$&Processamento de dados.#$&Lógica de primeira ordem.#$&Cálculo lambda.,"Blackburn, Patrick,",Livro,4,2005.0,,"Center for the Study of Language and Information,",,"['Semântica -', 'Processamento de dados', 'Lógica de primeira ordem', 'Cálculo lambda']",Semântica -
125716,Computers as components :,principles of embedded computing system design /,Arquitetura de computadores.#$&Sistemas imbutidos de computador.#$&Desenho de sistemas.,"Wolf, Wayne Hendrix.",Livro,8,2008.0,2. ed. -,"Morgan Kaufmann Publishers,",,"['Arquitetura de computadores', 'Sistemas imbutidos de computador', 'Desenho de sistemas']",Arquitetura de computadores
125724,Fatores que influenciam a aceitação de práticas avançadas de gestão de segurança da informação:,um estudo com gestores públicos estaduais do Brasil /,Gestão de segurança da informação -#$&Dissertação.#$&ISO 27001 -#$&Dissertação.,"Nobre, Anna Cláudia dos Santos.",Dissertação,2,2009.0,,,,"['Gestão de segurança da informação -', 'Dissertação', 'ISO 27001 -', 'Dissertação']",Gestão de segurança da informação -
125928,F# for scientists,,Fp4s (Linguagem de programação do computador).#$&Programação funcional (informática).#$&Ciência -#$&Processamento de dados.,"Harrop, Jon D.",Livro,2,2008.0,,"John Wiley,",,"['Fp4s (Linguagem de programação do computador)', 'Programação funcional (informática)', 'Ciência -', 'Processamento de dados']",Fp4s (Linguagem de programação do computador)
125955,Tecnologia da informação e da comunicação:,a busca de uma visão ampla e estruturada/,Administração de empresas.#$&Governança em TI.#$&Tecnologia da informação.#$&Tecnologia -#$&Aspectos sociais.,,Livro,1,2007.0,,"Pearson Prentice Hall,",,"['Administração de empresas', 'Governança em TI', 'Tecnologia da informação', 'Tecnologia -', 'Aspectos sociais']",Administração de empresas
125968,Programming languages and operational semantics :,an introduction /,Programação de computador.#$&Linguagem de programação(Computador) -#$&Semântica.#$&Prolog(Linguagem de programação de computador).#$&Linguagem de programação lógica.,"Fernández, Maribel.",Livro,4,2004.0,,"King's College,",,"['Programação de computador', 'Linguagem de programação(Computador) -', 'Semântica', 'Prolog(Linguagem de programação de computador)', 'Linguagem de programação lógica']",Programação de computador
125971,An introduction to lambda calculi for computer scientists,,Programação (Computadores).#$&Cálculo lambda.#$&Lógica simbólica e matemática.,"Hankin, Chris,",Livro,4,2004.0,,"King¿s College Publications,",,"['Programação (Computadores)', 'Cálculo lambda', 'Lógica simbólica e matemática']",Programação (Computadores)
126012,Implementing ITIL :,adapting your it organization to the coming revolution in it service management /,Tecnologia da informação -#$&Administração.#$&Tecnologia da informação -#$&Planejamento.#$&Segurança da informação.#$&Administração do conhecimento.,"Steinberg, Randy A.",Livro,1,2005.0,,"Trafford Publishing,",,"['Tecnologia da informação -', 'Administração', 'Tecnologia da informação -', 'Planejamento', 'Segurança da informação', 'Administração do conhecimento']",Tecnologia da informação -
126035,"Logic, language, information and computation :","15th International Workshop, Wollic 2008, Edinburgh, UK, July 1-4, 2008 : proceedings /",Inteligência artificial.#$&Lógica simbólica e matemática.,,Livro,2,2008.0,,"Springer,",,"['Inteligência artificial', 'Lógica simbólica e matemática']",Inteligência artificial
126057,Software architecture :,perspectives on an emerging discipline /,Arquitetura de software.,"Shaw, Mary,",Livro,10,1996.0,,"Prentice Hall,",,['Arquitetura de software'],Arquitetura de software
126073,The puzzle of granular computing,,Inteligência artificial.#$&Computação granular.#$&Sistemas especialistas (Computação).,,Livro,3,2008.0,,"Springer,",,"['Inteligência artificial', 'Computação granular', 'Sistemas especialistas (Computação)']",Inteligência artificial
126126,The parametric lambda calculus :,a metamodel for computation /,Lambda calculus.#$&Linguagem de programação (Computadores).,"Ronchi Della Rocca, Simona.",Livro,2,2004.0,,"Springer-Verlag,",,"['Lambda calculus', 'Linguagem de programação (Computadores)']",Lambda calculus
126128,The world of e-government,,Administração pública -#$&Gestão da informação.#$&Informação eletrônica.#$&Internet na administração pública.,,Livro,1,2003.0,,"Haworth Press,",0789023067,"['Administração pública -', 'Gestão da informação', 'Informação eletrônica', 'Internet na administração pública']",Administração pública -
126139,Creating business advantage in the information age,,Comércio eletrônico.#$&Negócios -#$&Redes de computador.#$&Internet.,"Applegate, Lynda M.",Livro,1,2002.0,,"McGraw-Hill,",0072523670,"['Comércio eletrônico', 'Negócios -', 'Redes de computador', 'Internet']",Comércio eletrônico
126144,B2B application integration :,e-business-enable your enterprise /,Sistema de informação.#$&Empresa comercial -#$&Processamento de dados.#$&Comércio eletrônico.,"Linthicum, David S.,",Livro,1,2001.0,,"Addison-Wesley,",,"['Sistema de informação', 'Empresa comercial -', 'Processamento de dados', 'Comércio eletrônico']",Sistema de informação
126146,"Outsourcing information technology, systems, and services",,Tecnologia da informação -#$&Administração.#$&Sistemas de informação.,"Klepper, Robert,",Livro,1,1998.0,,"Prentice Hall PTR,",,"['Tecnologia da informação -', 'Administração', 'Sistemas de informação']",Tecnologia da informação -
126147,Enterprise application integration,,Sistema de informação -#$&Desenvolvimento.#$&Empresa comercial.,"Linthicum, David S.,",Livro,1,2000.0,,"Addison-Wesley,",,"['Sistema de informação -', 'Desenvolvimento', 'Empresa comercial']",Sistema de informação -
126149,Electronic payment systems for e-commerce,,Comércio eletrônico.#$&Criptografia de dados (Computação).#$&Internet.,"O'Mahony, Donal,",Livro,1,1997.0,,"Artech House,",1580532683,"['Comércio eletrônico', 'Criptografia de dados (Computação)', 'Internet']",Comércio eletrônico
126150,Developing E-business systems & architectures :,a manager's guide /,Comércio eletrônico -#$&Administração.#$&Sistema de gestão da informação.,"Harmon, Paul,",Livro,1,2001.0,,"Morgan Kaufmann Publishers,",1558606653,"['Comércio eletrônico -', 'Administração', 'Sistema de gestão da informação']",Comércio eletrônico -
126182,Emergência :,"a dinâmica de rede em formigas, cérebros, cidades e softwares /",Inteligência artificial.#$&Sistemas auto-organizáveis.,"Johnson, Steven.",Livro,5,2003.0,,"J. Zahar,",,"['Inteligência artificial', 'Sistemas auto-organizáveis']",Inteligência artificial
126198,Types for proofs and programs :,"international conference, TYPES 2007, Cividale del Friuli, Italy, May 2-5, 2007 : revised selected papers /",Programação (Computadores).#$&Demonstração automática de teoremas.#$&Teoria das demonstrações.,,Livro,2,2008.0,,"Springer,",,"['Programação (Computadores)', 'Demonstração automática de teoremas', 'Teoria das demonstrações']",Programação (Computadores)
126295,Conceitos de linguagens de programação,,Linguagem de programação (Computadores).,"Sebesta, Robert W.",Livro,10,2003.0,5. ed. -,"Bookman,",,['Linguagem de programação (Computadores)'],Linguagem de programação (Computadores)
126298,The Internet :,an ethnographic approach /,Internet -#$&Aspectos sociais.#$&Computadores e civilização.#$&Internet -#$&Aspectos econômicos.,"Miller, Daniel,",Livro,3,2000.0,,"Berg,",,"['Internet -', 'Aspectos sociais', 'Computadores e civilização', 'Internet -', 'Aspectos econômicos']",Internet -
126342,Software testing :,a craftsman's approach /,Software -#$&Testes.,"Jorgensen, Paul.",Livro,7,2008.0,3rd ed. -,"Auerbach,",,"['Software -', 'Testes']",Software -
126349,Networks on chips :,technology and tools /,Arquitetura de rede.#$&Redes de computadores -#$&equipamentos e acessórios.,"Benini, Luca,",Livro,15,2006.0,,"Elsevier Morgan Kaufmann Publishers,",,"['Arquitetura de rede', 'Redes de computadores -', 'equipamentos e acessórios']",Arquitetura de rede
126388,Doing Internet research :,critical issues and methods for examining the Net /,Internet (Redes de computação) -#$&Aspectos sociais -#$&Pesquisa -#$&Metodologia.#$&Telematica -#$&Aspectos sociais -#$&Metodologia.#$&Realidade virtual.,,Livro,4,1999.0,,"SAGE,",,"['Internet (Redes de computação) -', 'Aspectos sociais -', 'Pesquisa -', 'Metodologia', 'Telematica -', 'Aspectos sociais -', 'Metodologia', 'Realidade virtual']",Internet (Redes de computação) -
126392,Logical frameworks,,Sistemas de estrutura.#$&Lógica -#$&computacional#$&Demonstração automatica de teoremas.,,Livro,1,1991.0,,"Cambridge University Press,",,"['Sistemas de estrutura', 'Lógica -', 'computacional', 'Demonstração automatica de teoremas']",Sistemas de estrutura
126409,Virtual methods :,issues in social research on the Internet /,Internet -#$&Aspectos sociais.#$&Interação social.,,Livro,2,2005.0,,"Berg,",,"['Internet -', 'Aspectos sociais', 'Interação social']",Internet -
126496,Granular computing :,an introduction /,Computação granulada.,"Bargiela, A.",Livro,6,2003.0,,"Kluwer Academic Publishers,",,['Computação granulada'],Computação granulada
126501,The paraview guide :,a parallel visualization application /,ParaView (Programa de computador).,"Squillacote, Amy Henderson.",Livro,2,2007.0,,"Kitware,",,['ParaView (Programa de computador)'],ParaView (Programa de computador)
126567,Aggregation functions :,a guide for practitioners /,Engenharia de software.#$&Processo decisório por critério múltiplo.,"Beliakov, Gleb.",Livro,3,2007.0,,"Springer,",,"['Engenharia de software', 'Processo decisório por critério múltiplo']",Engenharia de software
126569,Hypercomputation :,computing beyond the church-turing barrier /,Inteligência artificial.#$&Funções computáveis.#$&Complexidade computacional.,"Syropoulos, Apostolos.",Livro,4,2008.0,,"Springer,",,"['Inteligência artificial', 'Funções computáveis', 'Complexidade computacional']",Inteligência artificial
126571,Knowledge processing with interval and soft computing,,Representação do conhecimento (Teoria da informação).#$&Inteligência artificial.#$&Exploração de dados (Computação).#$&Algoritmos.#$&Computação.#$&Análise de intervalos (Matemática).,,Livro,5,2008.0,,"Springer,",,"['Representação do conhecimento (Teoria da informação)', 'Inteligência artificial', 'Exploração de dados (Computação)', 'Algoritmos', 'Computação', 'Análise de intervalos (Matemática)']",Representação do conhecimento (Teoria da informação)
126604,Automated reasoning :,"4th International Joint Conference, IJCAR 2008 Sydney, Australia, August 12/15, 2008 : proceedings /",Inteligência artificial.#$&Demonstração automática de teoremas.#$&Lógica de computador.,,Livro,2,2008.0,,"Springer,",,"['Inteligência artificial', 'Demonstração automática de teoremas', 'Lógica de computador']",Inteligência artificial
126673,Automated theorem proving in software engineering,,Engenharia de software.#$&Demonstração automática de teoremas.,"Schumann, Johann M.,",Livro,3,2001.0,,"Springer,",,"['Engenharia de software', 'Demonstração automática de teoremas']",Engenharia de software
126680,Automated theorem proving :,theory and practice /,Inteligência artificial.#$&Demonstração automática de teoremas.#$&Lógica simbólica e matemática.,"Newborn, Monty.",Livro,7,2001.0,,"Springer,",,"['Inteligência artificial', 'Demonstração automática de teoremas', 'Lógica simbólica e matemática']",Inteligência artificial
126686,Computers and education :,"e-learning, from theory to practice /",Ensino auxiliado por computador.#$&Educação -#$&Processamento de dados.,,Livro,2,2007.0,,"Springer,",,"['Ensino auxiliado por computador', 'Educação -', 'Processamento de dados']",Ensino auxiliado por computador
126699,O livro oficial do Ubuntu,,Linux (Programa de computador).#$&Engenharia de software.#$&Software livre.,,Livro,4,2008.0,2. ed. -,"Bookman,",,"['Linux (Programa de computador)', 'Engenharia de software', 'Software livre']",Linux (Programa de computador)
126861,Chaos :,making a new science /,Sistemas.,"Gleick, James.",Livro,1,1988.0,,Penguin Books,,['Sistemas'],Sistemas
126952,Palmtops para iniciantes e experts,,Computadores de bolso.#$&Software -#$&Desenvolvimento.,"Trois, Julio.",Livro,1,2003.0,,"Visual Books,",,"['Computadores de bolso', 'Software -', 'Desenvolvimento']",Computadores de bolso
126986,Redes de computadores,,Redes de computação.#$&Manutenção de rede.#$&Descrição dos circuitos.#$&Tipos de transmissão.,"Ross, Júlio.",Livro,4,2008.0,,"Livro Tec,",8535201572,"['Redes de computação', 'Manutenção de rede', 'Descrição dos circuitos', 'Tipos de transmissão']",Redes de computação
127019,Economia da Internet :,"um manual para administradores, economistas e empresários do Século XXI /",Marketing na internet.#$&Comércio eletrônico.,"Wyllie, Eduardo.",Livro,1,2000.0,,"Axcel Books do Brasil,",,"['Marketing na internet', 'Comércio eletrônico']",Marketing na internet
127025,Questões comentadas de informática :,[totalmente atualizado com novas questões e guias de referência rápida] /,"Informática -#$&Problemas, questões, exercícios.","Souza, Glaucio Diniz de.",Livro,1,2004.0,10. ed. -,"Vestcon,",,"['Informática -', 'Problemas, questões, exercícios']",Informática -
127114,Implementação e análise de desempenho dos protocolos de criptografia neural e Diffie-Hellman em sistemas RFID utilizando uma plataforma embarcada,,Segurança e privacidade em sistemas RFID -#$&Dissertação.#$&Criptografia neural -#$&Dissertação.#$&Diffie-Hellman -#$&Dissertação.#$&Gerenciamento de chaves -#$&Dissertação.#$&Security and privacy for RFID systems.#$&Neural cryptography.#$&Diffie-Hellman.#$&Key management protocol.,"Firmino Filho, José Macêdo.",Dissertação,1,2009.0,,,,"['Segurança e privacidade em sistemas RFID -', 'Dissertação', 'Criptografia neural -', 'Dissertação', 'Diffie-Hellman -', 'Dissertação', 'Gerenciamento de chaves -', 'Dissertação', 'Security and privacy for RFID systems', 'Neural cryptography', 'Diffie-Hellman', 'Key management protocol']",Segurança e privacidade em sistemas RFID -
